loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,start_date
LOAN000086,CUS003558,Education Loan,62859,10.84,Approved,2021-08-24
LOAN000087,CUS013462,Personal Loan,290152,10.9,Pending,2022-03-16
LOAN000088,CUS014628,Education Loan,95772,11.27,Approved,2022-10-16
LOAN000089,CUS016330,Gold Loan,141018,10.51,Pending,2025-08-15
LOAN000090,CUS005255,Education Loan,1634808,12.41,Closed,2020-01-01
LOAN000091,CUS012606,Gold Loan,131418,13.73,Closed,2024-03-19
LOAN000092,CUS013058,Business Loan,6307296,11.32,Approved,2024-05-25
LOAN000093,CUS000631,Personal Loan,779207,7.53,Approved,2020-06-06
LOAN000094,CUS011889,Business Loan,282748,10.52,Approved,2024-11-22
LOAN000095,CUS010268,Car Loan,240912,11.31,Approved,2024-10-20
LOAN000096,CUS009176,Education Loan,214260,7.31,Approved,2023-02-10
LOAN000097,CUS001471,Business Loan,2991916,13.7,Approved,2020-04-18
LOAN000098,CUS005325,Home Loan,6279502,12.98,Pending,2022-11-10
LOAN000099,CUS001285,Education Loan,204902,11.56,Approved,2021-01-05
LOAN000100,CUS014331,Car Loan,232318,13.39,Closed,2021-01-07
LOAN000101,CUS002219,Car Loan,59208,9.79,Approved,2020-01-18
LOAN000102,CUS002944,Education Loan,153333,11.48,Approved,2023-02-09
LOAN000103,CUS014578,Home Loan,295821,10.32,Approved,2023-02-12
LOAN000104,CUS016073,Education Loan,8421874,10.32,Pending,2022-02-22
LOAN000105,CUS007467,Education Loan,857462,8.97,Closed,2025-05-15
LOAN000106,CUS008839,Personal Loan,7537637,11.25,Closed,2023-11-09
LOAN000107,CUS018830,Business Loan,139587,13.78,Approved,2025-08-20
LOAN000108,CUS010407,Education Loan,265760,10.3,Approved,2022-03-07
LOAN000109,CUS017161,Personal Loan,200864,12.85,Approved,2024-07-09
LOAN000110,CUS001984,Business Loan,273923,12.29,Approved,2023-04-21
LOAN000111,CUS008470,Car Loan,129950,10.5,Approved,2021-01-01
LOAN000112,CUS017777,Home Loan,255739,8.73,Approved,2023-08-15
LOAN000113,CUS006662,Business Loan,1857556,7.84,Approved,2025-01-02
LOAN000114,CUS001952,Gold Loan,2232903,8.03,Approved,2023-04-28
LOAN000115,CUS010521,Home Loan,4305884,9.66,Approved,2025-05-23
LOAN000116,CUS012145,Education Loan,1684153,8.37,Approved,2024-02-05
LOAN000117,CUS004348,Education Loan,2322346,9.89,Approved,2024-11-22
LOAN000118,CUS010886,Education Loan,9827870,12.87,Closed,2025-03-12
LOAN000119,CUS009968,Education Loan,813330,7.72,Approved,2023-07-15
LOAN000120,CUS019743,Personal Loan,102883,11.26,Approved,2024-05-17
LOAN000121,CUS013803,Business Loan,649620,10.33,Pending,2024-04-13
LOAN000122,CUS004349,Gold Loan,85073,9.21,Approved,2024-06-14
LOAN000123,CUS012749,Education Loan,85011,9.13,Approved,2021-01-03
LOAN000124,CUS008064,Business Loan,215239,13.3,Approved,2020-03-06
LOAN000125,CUS003388,Gold Loan,207220,13.35,Approved,2024-11-04
LOAN000126,CUS001258,Education Loan,219267,9.32,Pending,2025-03-20
LOAN000127,CUS017582,Home Loan,146426,10.7,Closed,2021-01-26
LOAN000128,CUS010148,Education Loan,142733,11.09,Approved,2025-01-15
LOAN000129,CUS018773,Car Loan,121346,12.34,Approved,2022-07-07
LOAN000130,CUS008783,Car Loan,90114,10.57,Approved,2022-11-12
LOAN000131,CUS014410,Business Loan,5497494,12.04,Approved,2022-01-03
LOAN000132,CUS014678,Personal Loan,2481563,7.21,Approved,2021-04-04
LOAN000133,CUS007108,Business Loan,7064137,8.52,Approved,2024-04-19
LOAN000134,CUS016501,Personal Loan,5120139,13.63,Pending,2020-12-13
LOAN000135,CUS009660,Car Loan,1411888,8.31,Pending,2021-03-03
LOAN000136,CUS013145,Personal Loan,2992854,9.84,Approved,2025-01-06
LOAN000137,CUS013153,Home Loan,216998,11.31,Approved,2024-10-28
LOAN000138,CUS002357,Personal Loan,1692092,11.6,Pending,2023-06-13
LOAN000139,CUS018676,Education Loan,1134440,8.82,Pending,2021-06-11
LOAN000140,CUS008830,Education Loan,129742,12.01,Approved,2024-05-11
LOAN000141,CUS016043,Business Loan,7498142,9.24,Approved,2023-01-07
LOAN000142,CUS009595,Business Loan,265148,13.21,Approved,2021-02-21
LOAN000143,CUS012260,Personal Loan,206016,7.96,Approved,2023-11-15
LOAN000144,CUS009753,Business Loan,279797,10.1,Approved,2025-04-08
LOAN000145,CUS002546,Business Loan,139943,11.99,Closed,2025-01-11
LOAN000146,CUS016078,Education Loan,210091,10.57,Approved,2020-03-12
LOAN000147,CUS006220,Car Loan,2914037,8.08,Approved,2025-02-09
LOAN000148,CUS011090,Car Loan,2868871,12.97,Closed,2022-10-01
LOAN000149,CUS006422,Home Loan,296461,8.13,Pending,2023-02-10
LOAN000150,CUS004370,Business Loan,254171,9.87,Pending,2025-01-25
LOAN000151,CUS001716,Education Loan,147726,12.73,Closed,2023-09-04
LOAN000152,CUS006860,Car Loan,620829,12.25,Approved,2025-07-17
LOAN000153,CUS004877,Car Loan,957847,13.13,Approved,2025-08-03
LOAN000154,CUS007801,Personal Loan,64516,10.29,Pending,2021-08-27
LOAN000155,CUS013998,Education Loan,119698,7.45,Approved,2022-08-18
LOAN000156,CUS018357,Personal Loan,5341516,7.8,Approved,2025-07-20
LOAN000157,CUS012119,Car Loan,150849,7.71,Approved,2024-03-15
LOAN000158,CUS003730,Personal Loan,124483,11.39,Closed,2024-02-18
LOAN000159,CUS016176,Car Loan,136546,11.3,Approved,2023-06-10
LOAN000160,CUS005348,Car Loan,185806,11.63,Pending,2022-07-22
LOAN000161,CUS000574,Gold Loan,7602555,10.36,Approved,2024-03-25
LOAN000162,CUS010008,Personal Loan,299846,10.88,Approved,2020-05-16
LOAN000163,CUS002299,Business Loan,183182,10.64,Approved,2020-11-20
LOAN000164,CUS002680,Gold Loan,4459160,8.98,Approved,2022-09-15
LOAN000165,CUS002312,Gold Loan,1434821,10.44,Approved,2023-07-23
LOAN000166,CUS006737,Business Loan,831784,8.41,Pending,2021-01-21
LOAN000167,CUS011785,Business Loan,5615276,13.38,Closed,2025-12-15
LOAN000168,CUS015118,Business Loan,141753,8.08,Approved,2020-07-02
LOAN000169,CUS015380,Personal Loan,677084,13.56,Closed,2025-12-17
LOAN000170,CUS009990,Business Loan,2346685,13.42,Approved,2023-10-17
LOAN000171,CUS000979,Car Loan,77440,13.36,Pending,2024-10-12
LOAN000172,CUS011409,Personal Loan,71974,11.84,Approved,2023-02-26
LOAN000173,CUS007581,Car Loan,100245,11.8,Pending,2023-08-06
LOAN000174,CUS003358,Car Loan,6112076,10.63,Approved,2021-04-14
LOAN000175,CUS003131,Gold Loan,956211,9.93,Approved,2023-02-11
LOAN000176,CUS014182,Education Loan,1363180,11.89,Approved,2024-01-25
LOAN000177,CUS006588,Car Loan,62223,13.7,Pending,2023-09-27
LOAN000178,CUS018186,Car Loan,2121324,7.52,Approved,2025-10-24
LOAN000179,CUS009506,Car Loan,265063,11.67,Closed,2020-03-25
LOAN000180,CUS006167,Car Loan,274929,8.78,Closed,2020-04-05
LOAN000181,CUS001279,Car Loan,287987,11.09,Closed,2023-07-25
LOAN000182,CUS001209,Personal Loan,58284,12.68,Approved,2024-09-21
LOAN000183,CUS004681,Business Loan,276314,13.3,Approved,2021-10-05
LOAN000184,CUS008743,Education Loan,184634,10.42,Closed,2023-07-26
LOAN000185,CUS006711,Education Loan,709468,10.36,Pending,2022-11-24
LOAN000186,CUS000772,Car Loan,2658236,10.35,Approved,2024-06-18
LOAN000187,CUS000329,Personal Loan,576274,7.75,Pending,2023-08-26
LOAN000188,CUS008088,Education Loan,143195,12.56,Approved,2021-03-20
LOAN000189,CUS015190,Personal Loan,1031416,10.3,Approved,2024-08-03
LOAN000190,CUS016533,Gold Loan,4447092,7.51,Approved,2022-03-03
LOAN000191,CUS011566,Car Loan,245013,13.61,Approved,2021-05-03
LOAN000192,CUS002222,Personal Loan,6990808,10.76,Pending,2023-04-17
LOAN000193,CUS015822,Personal Loan,69496,9.25,Approved,2023-09-09
LOAN000194,CUS019205,Education Loan,1371694,11.03,Approved,2023-08-02
LOAN000195,CUS019158,Gold Loan,286925,12.77,Approved,2021-02-21
LOAN000196,CUS009834,Gold Loan,4300023,7.5,Pending,2021-05-22
LOAN000197,CUS003354,Home Loan,2642688,13.19,Pending,2024-04-15
LOAN000198,CUS004104,Gold Loan,673570,12.16,Pending,2020-03-16
LOAN000199,CUS002389,Home Loan,2209246,9.9,Approved,2023-12-27
LOAN000200,CUS017868,Business Loan,2075897,12.0,Approved,2021-11-24
LOAN000201,CUS016030,Personal Loan,1589341,12.46,Approved,2023-04-13
LOAN000202,CUS003013,Personal Loan,135857,11.58,Approved,2022-06-17
LOAN000203,CUS008746,Education Loan,727683,11.17,Closed,2021-08-13
LOAN000204,CUS003811,Education Loan,61207,12.14,Approved,2023-01-20
LOAN000205,CUS014963,Education Loan,53882,12.11,Approved,2021-08-07
LOAN000206,CUS004571,Gold Loan,1454172,11.22,Approved,2023-08-19
LOAN000207,CUS006792,Education Loan,266024,10.13,Approved,2021-02-03
LOAN000208,CUS002498,Gold Loan,293288,13.32,Closed,2021-08-21
LOAN000209,CUS001751,Gold Loan,237820,7.36,Pending,2022-11-01
LOAN000210,CUS006109,Car Loan,668516,11.38,Pending,2024-09-05
LOAN000211,CUS007325,Home Loan,151423,12.08,Approved,2022-03-28
LOAN000212,CUS014920,Gold Loan,561553,9.99,Pending,2020-03-14
LOAN000213,CUS015953,Personal Loan,111117,9.67,Closed,2020-02-09
LOAN000214,CUS018889,Gold Loan,112251,10.4,Pending,2024-08-23
LOAN000215,CUS012107,Car Loan,137990,11.0,Approved,2025-10-24
LOAN000216,CUS019128,Education Loan,214161,7.86,Approved,2024-01-14
LOAN000217,CUS011541,Business Loan,238469,8.81,Approved,2020-11-03
LOAN000218,CUS009557,Car Loan,182257,9.95,Closed,2021-12-02
LOAN000219,CUS014593,Home Loan,146510,9.42,Pending,2023-02-16
LOAN000220,CUS005577,Personal Loan,157342,13.73,Approved,2023-10-27
LOAN000221,CUS010478,Car Loan,175604,8.99,Approved,2020-11-12
LOAN000222,CUS011455,Education Loan,2951955,11.55,Approved,2020-03-27
LOAN000223,CUS018106,Education Loan,247473,11.98,Pending,2024-08-11
LOAN000224,CUS014843,Business Loan,52841,8.9,Approved,2021-01-27
LOAN000225,CUS015623,Education Loan,8147316,7.41,Approved,2022-01-23
LOAN000226,CUS002487,Home Loan,279138,8.06,Approved,2021-05-27
LOAN000227,CUS001032,Education Loan,1691259,9.38,Approved,2020-09-07
LOAN000228,CUS002267,Personal Loan,294143,13.25,Closed,2021-03-27
LOAN000229,CUS017621,Business Loan,54614,11.84,Approved,2022-09-19
LOAN000230,CUS002927,Personal Loan,180387,9.44,Pending,2022-09-17
LOAN000231,CUS014507,Home Loan,2281494,7.45,Approved,2024-01-08
LOAN000232,CUS017542,Gold Loan,284378,10.75,Pending,2020-01-25
LOAN000233,CUS017143,Personal Loan,2758959,10.24,Pending,2020-10-02
LOAN000234,CUS014523,Education Loan,5615971,10.31,Approved,2021-09-22
LOAN000235,CUS005475,Business Loan,7598518,7.67,Approved,2020-10-09
LOAN000236,CUS004198,Home Loan,253167,10.1,Approved,2024-10-16
LOAN000237,CUS000968,Personal Loan,261614,12.91,Pending,2023-09-13
LOAN000238,CUS003455,Education Loan,65372,11.52,Approved,2023-08-20
LOAN000239,CUS005714,Home Loan,76536,12.22,Approved,2023-09-23
LOAN000240,CUS000652,Business Loan,292846,11.12,Pending,2021-11-25
LOAN000241,CUS008582,Car Loan,602179,7.54,Pending,2021-08-19
LOAN000242,CUS006722,Personal Loan,2126364,8.0,Approved,2023-01-28
LOAN000243,CUS015743,Home Loan,5488270,8.78,Approved,2020-10-03
LOAN000244,CUS005346,Home Loan,297763,8.18,Pending,2024-05-08
LOAN000245,CUS007741,Business Loan,1844611,9.95,Pending,2025-11-26
LOAN000246,CUS003951,Business Loan,6963190,10.7,Approved,2023-05-12
LOAN000247,CUS017301,Home Loan,8987836,10.29,Pending,2023-04-07
LOAN000248,CUS016868,Home Loan,432507,9.23,Pending,2020-02-13
LOAN000249,CUS019785,Car Loan,2307641,8.28,Closed,2025-02-14
LOAN000250,CUS018369,Business Loan,233578,10.25,Pending,2025-02-14
LOAN000251,CUS008332,Gold Loan,805788,10.22,Approved,2021-01-04
LOAN000252,CUS018463,Car Loan,163332,11.48,Approved,2024-05-18
LOAN000253,CUS003372,Education Loan,157373,13.04,Closed,2024-11-01
LOAN000254,CUS004501,Car Loan,225795,9.8,Pending,2024-12-18
LOAN000255,CUS002577,Car Loan,791852,10.0,Approved,2021-09-26
LOAN000256,CUS019847,Personal Loan,799749,7.78,Approved,2025-01-20
LOAN000257,CUS013201,Car Loan,260661,12.39,Approved,2020-12-13
LOAN000258,CUS012001,Gold Loan,373312,8.08,Approved,2022-04-16
LOAN000259,CUS016281,Home Loan,885686,13.09,Approved,2024-04-03
LOAN000260,CUS006044,Business Loan,60498,11.92,Approved,2025-04-20
LOAN000261,CUS001726,Personal Loan,266203,8.86,Approved,2020-07-17
LOAN000262,CUS008029,Car Loan,2155093,11.92,Approved,2025-11-22
LOAN000263,CUS007798,Business Loan,148294,9.14,Pending,2025-06-03
LOAN000264,CUS014676,Business Loan,717741,12.91,Approved,2022-07-05
LOAN000265,CUS016520,Gold Loan,66696,12.65,Pending,2022-01-12
LOAN000266,CUS017956,Car Loan,155006,9.81,Approved,2022-05-06
LOAN000267,CUS005434,Education Loan,7448363,10.27,Approved,2024-07-26
LOAN000268,CUS003952,Home Loan,3947066,7.45,Pending,2025-10-27
LOAN000269,CUS019320,Gold Loan,914353,11.86,Closed,2023-11-08
LOAN000270,CUS006668,Home Loan,119278,11.05,Approved,2023-10-23
LOAN000271,CUS011743,Home Loan,237822,9.61,Approved,2022-11-06
LOAN000272,CUS019931,Education Loan,2732310,12.45,Approved,2025-07-02
LOAN000273,CUS002435,Car Loan,1314553,13.66,Pending,2021-11-24
LOAN000274,CUS006443,Home Loan,1928510,13.46,Approved,2023-11-16
LOAN000275,CUS000030,Gold Loan,7180899,12.91,Pending,2020-08-10
LOAN000276,CUS006925,Car Loan,5455020,12.58,Pending,2021-03-12
LOAN000277,CUS013387,Gold Loan,128277,10.39,Approved,2021-06-21
LOAN000278,CUS009872,Education Loan,1809679,12.46,Approved,2020-01-09
LOAN000279,CUS014437,Business Loan,290324,7.48,Approved,2023-07-28
LOAN000280,CUS010557,Business Loan,121642,10.53,Pending,2021-04-17
LOAN000281,CUS017132,Home Loan,141870,9.21,Approved,2025-03-17
LOAN000282,CUS000310,Home Loan,107363,9.38,Approved,2024-04-11
LOAN000283,CUS005229,Education Loan,93261,13.22,Approved,2020-02-12
LOAN000284,CUS011360,Education Loan,103556,10.43,Pending,2022-06-08
LOAN000285,CUS000884,Home Loan,159908,12.93,Approved,2020-12-11
LOAN000286,CUS002425,Gold Loan,282344,13.73,Approved,2022-03-26
LOAN000287,CUS018254,Personal Loan,1016976,10.48,Approved,2024-11-26
LOAN000288,CUS004402,Home Loan,252088,13.51,Approved,2023-06-03
LOAN000289,CUS015514,Education Loan,91375,11.3,Closed,2024-04-21
LOAN000290,CUS005564,Gold Loan,392390,8.6,Closed,2023-03-05
LOAN000291,CUS006653,Business Loan,2432328,13.54,Closed,2024-03-28
LOAN000292,CUS008413,Personal Loan,114535,11.5,Pending,2023-04-05
LOAN000293,CUS009487,Home Loan,132013,7.34,Approved,2020-07-15
LOAN000294,CUS010631,Car Loan,447720,7.44,Approved,2020-07-08
LOAN000295,CUS016958,Home Loan,69604,7.26,Pending,2020-05-10
LOAN000296,CUS014199,Gold Loan,110809,8.36,Approved,2022-06-05
LOAN000297,CUS012491,Gold Loan,3387158,8.02,Approved,2021-07-18
LOAN000298,CUS004771,Business Loan,85327,12.19,Approved,2023-06-28
LOAN000299,CUS001265,Car Loan,965791,10.82,Approved,2023-03-10
LOAN000300,CUS014175,Personal Loan,1238067,10.33,Pending,2021-05-09
LOAN000301,CUS017648,Car Loan,502693,12.18,Approved,2020-06-08
LOAN000302,CUS015982,Home Loan,8246891,7.48,Approved,2020-03-08
LOAN000303,CUS019206,Gold Loan,874477,8.87,Pending,2024-07-24
LOAN000304,CUS002662,Business Loan,209380,10.31,Closed,2022-08-28
LOAN000305,CUS003846,Personal Loan,712378,10.24,Closed,2020-04-02
LOAN000306,CUS005670,Car Loan,181618,11.44,Pending,2025-10-23
LOAN000307,CUS005708,Gold Loan,1115363,11.14,Closed,2024-09-11
LOAN000308,CUS019846,Home Loan,4518036,9.03,Pending,2025-09-03
LOAN000309,CUS011662,Car Loan,1069909,13.08,Closed,2025-12-08
LOAN000310,CUS000446,Education Loan,69579,8.91,Approved,2020-11-21
LOAN000311,CUS018203,Gold Loan,142239,10.67,Approved,2022-08-16
LOAN000312,CUS005512,Business Loan,8138349,12.56,Approved,2022-03-14
LOAN000313,CUS013606,Gold Loan,218795,7.52,Pending,2025-12-11
LOAN000314,CUS006608,Home Loan,69915,11.82,Approved,2025-07-23
LOAN000315,CUS013244,Personal Loan,166682,13.68,Approved,2022-01-14
LOAN000316,CUS001931,Gold Loan,180911,13.65,Approved,2023-06-12
LOAN000317,CUS014204,Personal Loan,1406048,11.3,Closed,2020-12-09
LOAN000318,CUS001134,Car Loan,6166772,11.69,Approved,2022-04-20
LOAN000319,CUS002271,Education Loan,2913900,7.68,Approved,2025-04-25
LOAN000320,CUS008530,Home Loan,1804200,7.92,Approved,2021-07-17
LOAN000321,CUS004332,Home Loan,814485,7.87,Approved,2021-09-15
LOAN000322,CUS013026,Gold Loan,5328876,12.35,Approved,2020-11-13
LOAN000323,CUS017282,Personal Loan,242566,9.41,Pending,2023-02-25
LOAN000324,CUS010622,Gold Loan,1050826,13.45,Approved,2025-11-02
LOAN000325,CUS001916,Business Loan,140958,13.64,Closed,2020-08-03
LOAN000326,CUS011414,Car Loan,9506274,13.57,Approved,2025-09-23
LOAN000327,CUS019534,Home Loan,2058721,10.61,Approved,2023-01-20
LOAN000328,CUS001834,Home Loan,1993068,9.55,Approved,2020-03-02
LOAN000329,CUS013459,Business Loan,2573509,7.87,Approved,2021-08-03
LOAN000330,CUS003726,Home Loan,85978,12.25,Closed,2022-03-06
LOAN000331,CUS000943,Home Loan,121705,11.77,Approved,2023-01-18
LOAN000332,CUS013165,Personal Loan,516201,7.3,Pending,2025-05-26
LOAN000333,CUS009253,Education Loan,401886,11.9,Approved,2024-02-14
LOAN000334,CUS011131,Business Loan,841627,8.46,Approved,2022-03-10
LOAN000335,CUS005782,Car Loan,671602,11.0,Approved,2020-02-27
LOAN000336,CUS005925,Car Loan,261794,11.9,Pending,2025-03-20
LOAN000337,CUS012941,Personal Loan,100071,7.39,Pending,2022-12-15
LOAN000338,CUS002512,Personal Loan,75869,9.19,Pending,2023-01-01
LOAN000339,CUS004673,Personal Loan,219679,10.03,Approved,2024-06-09
LOAN000340,CUS010751,Business Loan,745077,10.33,Approved,2024-11-08
LOAN000341,CUS009239,Education Loan,880562,7.37,Approved,2025-12-19
LOAN000342,CUS016589,Home Loan,9201803,11.55,Pending,2020-03-09
LOAN000343,CUS009241,Gold Loan,50234,10.59,Approved,2024-04-28
LOAN000344,CUS004705,Gold Loan,687283,9.37,Approved,2021-11-24
LOAN000345,CUS001529,Home Loan,6714747,7.63,Approved,2025-02-02
LOAN000346,CUS008950,Home Loan,742132,13.63,Pending,2020-01-06
LOAN000347,CUS007144,Home Loan,87276,13.48,Approved,2023-08-01
LOAN000348,CUS010663,Education Loan,76557,8.19,Approved,2021-11-05
LOAN000349,CUS019710,Car Loan,299347,10.52,Approved,2024-12-01
LOAN000350,CUS013033,Business Loan,294163,13.75,Pending,2024-09-06
LOAN000351,CUS009318,Car Loan,52020,9.23,Approved,2025-05-28
LOAN000352,CUS002405,Business Loan,76576,7.85,Pending,2021-10-27
LOAN000353,CUS010092,Car Loan,1602900,10.43,Approved,2024-08-10
LOAN000354,CUS014481,Gold Loan,140480,11.88,Pending,2025-06-02
LOAN000355,CUS012826,Education Loan,2964369,7.6,Approved,2023-11-06
LOAN000356,CUS015762,Business Loan,60223,8.63,Approved,2022-08-14
LOAN000357,CUS015123,Gold Loan,967607,7.61,Pending,2025-08-12
LOAN000358,CUS018621,Car Loan,123860,12.96,Pending,2023-08-11
LOAN000359,CUS003725,Car Loan,1249640,11.4,Approved,2020-06-03
LOAN000360,CUS019172,Home Loan,2238975,13.28,Approved,2022-10-21
LOAN000361,CUS006432,Gold Loan,188360,12.26,Approved,2020-09-09
LOAN000362,CUS014185,Car Loan,92893,10.28,Approved,2023-03-21
LOAN000363,CUS014582,Personal Loan,294300,12.97,Pending,2020-04-21
LOAN000364,CUS005179,Education Loan,278919,10.92,Pending,2024-03-28
LOAN000365,CUS016019,Car Loan,259252,11.25,Approved,2023-02-15
LOAN000366,CUS015438,Business Loan,2055560,10.52,Approved,2021-11-19
LOAN000367,CUS005556,Education Loan,108770,12.07,Pending,2020-02-11
LOAN000368,CUS003220,Education Loan,183891,13.06,Approved,2023-03-28
LOAN000369,CUS007562,Education Loan,2210537,8.08,Approved,2023-05-27
LOAN000370,CUS002690,Car Loan,1007101,12.52,Pending,2025-10-22
