account_id,customer_id,branch_id,account_type,balance_usd,account_status,open_date
ACC000048,CUS000034,BR078,Current,1051589.09,Active,2023-01-14
ACC000049,CUS000035,BR012,Savings,235723.25,Active,2025-07-26
ACC000050,CUS000036,BR085,Savings,56970.62,Active,2024-02-18
ACC000051,CUS000037,BR008,Savings,31897.31,Active,2023-03-06
ACC000052,CUS000038,BR034,Savings,11848.72,Active,2021-05-10
ACC000053,CUS000039,BR070,Savings,150045.77,Inactive,2020-08-20
ACC000054,CUS000039,BR056,Savings,16823.61,Active,2022-07-30
ACC000055,CUS000040,BR082,Salary,96948.68,Active,2018-04-21
ACC000056,CUS000041,BR036,Current,16456.63,Active,2027-02-09
ACC000057,CUS000041,BR045,Salary,293950.05,Active,2025-04-15
ACC000058,CUS000042,BR031,Savings,97212.96,Active,2020-07-22
ACC000059,CUS000043,BR086,Savings,126344.06,Active,2020-09-02
ACC000060,CUS000044,BR074,Savings,280606.01,Active,2025-05-18
ACC000061,CUS000045,BR091,Savings,139149.07,Inactive,2023-01-08
ACC000062,CUS000046,BR053,Savings,195574.0,Active,2024-11-18
ACC000063,CUS000047,BR016,Current,487827.28,Active,2022-09-05
ACC000064,CUS000047,BR058,Current,516115.34,Active,2023-01-24
ACC000065,CUS000048,BR084,Savings,209791.97,Active,2022-04-08
ACC000066,CUS000049,BR031,Current,871819.67,Inactive,2020-06-20
ACC000067,CUS000050,BR007,Savings,89009.73,Active,2025-09-27
ACC000068,CUS000051,BR034,Savings,255129.98,Active,2024-01-29
ACC000069,CUS000052,BR013,Savings,69169.77,Active,2019-12-05
ACC000070,CUS000053,BR082,Salary,140976.71,Active,2020-11-28
ACC000071,CUS000054,BR057,Current,1382772.77,Active,2025-04-17
ACC000072,CUS000055,BR085,Current,231960.59,Active,2023-07-15
ACC000073,CUS000055,BR045,Savings,299780.45,Inactive,2024-02-02
ACC000074,CUS000056,BR055,Savings,166572.81,Active,2022-07-24
ACC000075,CUS000057,BR049,Savings,127952.85,Active,2025-06-21
ACC000076,CUS000058,BR028,Salary,358531.64,Active,2022-08-27
ACC000077,CUS000059,BR029,Savings,99758.09,Active,2023-01-18
ACC000078,CUS000060,BR009,Current,1455162.22,Inactive,2021-04-07
ACC000079,CUS000061,BR085,Savings,113260.6,Active,2023-11-16
ACC000080,CUS000062,BR073,Savings,279057.94,Active,2018-03-28
ACC000081,CUS000063,BR004,Salary,349076.22,Active,2020-02-24
ACC000082,CUS000063,BR013,Savings,128143.36,Active,2020-04-26
ACC000083,CUS000064,BR069,Salary,418797.07,Active,2022-09-06
ACC000084,CUS000065,BR022,Savings,53219.69,Inactive,2025-04-15
ACC000085,CUS000066,BR086,Savings,166769.88,Inactive,2025-05-01
ACC000086,CUS000066,BR036,Salary,369486.26,Active,2025-12-30
ACC000087,CUS000067,BR044,Savings,221427.58,Active,2023-12-03
ACC000088,CUS000068,BR028,Savings,10562.02,Active,2025-10-13
ACC000089,CUS000069,BR045,Current,155350.05,Active,2021-09-16
ACC000090,CUS000070,BR056,Savings,224009.82,Active,2025-03-21
ACC000091,CUS000071,BR060,Current,1478724.68,Active,2022-03-23
ACC000092,CUS000072,BR084,Salary,76309.14,Active,2025-11-11
ACC000093,CUS000072,BR001,Fixed Deposit,2730700.75,Active,2026-01-01
ACC000094,CUS000072,BR099,Savings,243682.12,Active,2026-05-20
ACC000095,CUS000073,BR009,Savings,129817.26,Active,2022-09-18
ACC000096,CUS000074,BR041,Salary,56720.75,Active,2024-11-06
ACC000097,CUS000075,BR095,Savings,81363.87,Active,2024-03-05
ACC000098,CUS000076,BR081,Savings,276436.27,Inactive,2023-04-28
ACC000099,CUS000077,BR034,Savings,286015.63,Active,2023-10-10
ACC000100,CUS000078,BR068,Current,1284252.19,Active,2025-06-11
ACC000101,CUS000078,BR028,Savings,47766.59,Active,2026-11-02
ACC000102,CUS000078,BR055,Savings,67597.0,Active,2025-08-16
ACC000103,CUS000079,BR097,Savings,30953.93,Closed,2023-01-28
ACC000104,CUS000079,BR079,Current,327526.43,Active,2023-10-13
ACC000105,CUS000080,BR079,Current,95805.96,Active,2023-09-29
ACC000106,CUS000081,BR062,Savings,112501.88,Active,2021-02-03
ACC000107,CUS000082,BR025,Savings,164641.05,Inactive,2025-03-04
ACC000108,CUS000083,BR062,Savings,43090.01,Active,2022-05-27
ACC000109,CUS000084,BR053,Savings,271170.94,Active,2023-11-07
ACC000110,CUS000084,BR034,Salary,68907.88,Active,2024-06-28
ACC000111,CUS000085,BR057,Savings,53754.54,Active,2021-04-16
ACC000112,CUS000086,BR020,Savings,163333.08,Active,2020-11-09
ACC000113,CUS000086,BR031,Savings,4573.1,Inactive,2019-06-21
ACC000114,CUS000087,BR090,Savings,17332.93,Active,2022-01-08
ACC000115,CUS000087,BR056,Savings,247547.9,Active,2021-12-17
ACC000116,CUS000088,BR042,Savings,71080.93,Active,2020-12-26
ACC000117,CUS000089,BR082,Savings,190243.89,Active,2022-12-30
ACC000118,CUS000090,BR025,Savings,20501.24,Active,2026-09-14
ACC000119,CUS000091,BR031,Savings,190908.85,Active,2024-03-20
ACC000120,CUS000092,BR096,Savings,219477.45,Active,2021-09-23
ACC000121,CUS000093,BR058,Savings,36072.46,Active,2023-09-13
ACC000122,CUS000093,BR031,Savings,287615.86,Active,2023-03-10
ACC000123,CUS000094,BR090,Savings,220223.08,Active,2020-09-17
ACC000124,CUS000095,BR061,Savings,276367.36,Active,2024-04-13
ACC000125,CUS000096,BR022,Savings,194204.94,Active,2019-10-13
ACC000126,CUS000097,BR021,Savings,293675.21,Active,2021-02-22
ACC000127,CUS000098,BR042,Current,519300.48,Active,2024-07-07
ACC000128,CUS000098,BR027,Salary,495015.77,Active,2022-05-29
ACC000129,CUS000099,BR058,Savings,43585.13,Active,2021-07-07
ACC000130,CUS000100,BR082,Savings,103576.53,Active,2024-01-16
ACC000131,CUS000101,BR061,Savings,98571.75,Active,2026-02-15
ACC000132,CUS000101,BR033,Current,275037.38,Active,2026-09-05
ACC000133,CUS000101,BR048,Savings,213188.76,Active,2024-09-14
ACC000134,CUS000102,BR069,Salary,415123.61,Active,2021-08-11
ACC000135,CUS000103,BR080,Salary,103676.52,Active,2021-04-03
ACC000136,CUS000103,BR066,Savings,147894.1,Active,2022-07-17
ACC000137,CUS000104,BR004,Salary,360617.28,Active,2022-03-09
ACC000138,CUS000104,BR014,Savings,146704.16,Active,2020-09-13
ACC000139,CUS000104,BR099,Salary,468491.72,Active,2022-03-07
ACC000140,CUS000105,BR092,Savings,11251.61,Active,2023-03-19
ACC000141,CUS000106,BR094,Salary,433925.24,Active,2022-05-25
ACC000142,CUS000106,BR073,Savings,152191.38,Closed,2020-12-02
ACC000143,CUS000107,BR098,Savings,129759.97,Active,2023-09-05
ACC000144,CUS000108,BR094,Salary,277462.67,Active,2023-05-04
ACC000145,CUS000108,BR091,Current,628142.31,Inactive,2023-07-21
ACC000146,CUS000109,BR058,Savings,136652.07,Active,2024-01-23
ACC000147,CUS000109,BR059,Savings,272366.01,Active,2025-03-31
ACC000148,CUS000110,BR066,Savings,155793.22,Active,2024-12-04
ACC000149,CUS000110,BR020,Savings,83816.74,Active,2026-01-15
ACC000150,CUS000111,BR025,Savings,125802.49,Active,2021-08-13
ACC000151,CUS000111,BR069,Salary,28625.91,Active,2021-08-07
ACC000152,CUS000112,BR062,Savings,254349.6,Active,2020-07-15
ACC000153,CUS000112,BR033,Savings,234685.92,Active,2021-06-22
ACC000154,CUS000112,BR087,Current,1263366.37,Active,2022-03-01
ACC000155,CUS000113,BR037,Savings,95631.63,Active,2022-02-05
ACC000156,CUS000113,BR029,Fixed Deposit,445470.4,Active,2022-03-04
ACC000157,CUS000114,BR086,Savings,164835.2,Active,2021-11-12
ACC000158,CUS000115,BR028,Savings,222966.29,Active,2021-09-20
ACC000159,CUS000115,BR009,Savings,246729.58,Active,2022-08-15
ACC000160,CUS000116,BR016,Fixed Deposit,2196167.85,Inactive,2019-01-03
ACC000161,CUS000117,BR060,Savings,204542.8,Active,2018-09-25
ACC000162,CUS000118,BR085,Salary,11995.79,Active,2026-08-12
ACC000163,CUS000118,BR004,Fixed Deposit,2706546.11,Active,2025-05-10
ACC000164,CUS000119,BR070,Savings,88536.1,Active,2024-03-10
ACC000165,CUS000119,BR004,Current,413711.05,Active,2025-04-14
ACC000166,CUS000119,BR001,Savings,248652.64,Active,2024-09-19
ACC000167,CUS000120,BR011,Savings,176042.96,Active,2025-03-30
ACC000168,CUS000121,BR028,Savings,123559.66,Active,2021-08-17
ACC000169,CUS000121,BR023,Current,70100.25,Active,2022-02-21
ACC000170,CUS000121,BR012,Current,112297.81,Active,2021-07-03
ACC000171,CUS000122,BR046,Savings,22207.68,Active,2021-08-12
ACC000172,CUS000123,BR089,Current,1317454.69,Closed,2020-07-23
ACC000173,CUS000124,BR082,Savings,93066.9,Inactive,2021-11-30
ACC000174,CUS000125,BR003,Savings,156067.3,Inactive,2020-04-17
ACC000175,CUS000126,BR084,Savings,156427.72,Active,2021-07-27
ACC000176,CUS000127,BR055,Savings,223487.45,Active,2020-09-08
ACC000177,CUS000127,BR097,Savings,2632.02,Active,2021-02-15
ACC000178,CUS000128,BR079,Savings,157197.77,Active,2022-09-28
ACC000179,CUS000129,BR077,Savings,63408.67,Active,2020-06-03
ACC000180,CUS000130,BR093,Salary,263677.87,Active,2023-10-12
ACC000181,CUS000131,BR012,Salary,180787.4,Active,2025-04-14
ACC000182,CUS000132,BR015,Savings,137839.26,Active,2023-02-07
ACC000183,CUS000132,BR041,Savings,284246.68,Active,2021-07-30
ACC000184,CUS000133,BR045,Salary,278955.8,Active,2020-10-04
ACC000185,CUS000134,BR080,Current,1439413.86,Active,2023-01-19
ACC000186,CUS000135,BR100,Salary,215034.23,Active,2025-08-03
ACC000187,CUS000136,BR084,Savings,77624.68,Active,2026-10-13
ACC000188,CUS000137,BR045,Savings,130188.62,Active,2023-12-24
ACC000189,CUS000138,BR055,Savings,9286.84,Active,2023-11-06
ACC000190,CUS000139,BR013,Savings,90528.26,Active,2022-11-25
ACC000191,CUS000140,BR011,Savings,181394.78,Active,2025-05-29
ACC000192,CUS000140,BR008,Savings,69614.45,Active,2023-03-28
ACC000193,CUS000141,BR082,Savings,105447.23,Active,2023-06-22
ACC000194,CUS000142,BR041,Savings,78693.08,Active,2024-01-09
ACC000195,CUS000143,BR097,Savings,257788.99,Closed,2022-12-11
ACC000196,CUS000144,BR096,Savings,71726.22,Active,2022-04-12
ACC000197,CUS000144,BR040,Salary,347328.16,Active,2024-05-28
ACC000198,CUS000145,BR036,Savings,92763.27,Active,2022-07-18
ACC000199,CUS000146,BR012,Savings,282972.77,Active,2024-06-05
ACC000200,CUS000147,BR007,Savings,46426.2,Closed,2026-09-25
ACC000201,CUS000148,BR066,Savings,235333.86,Inactive,2024-10-23
ACC000202,CUS000149,BR066,Salary,291709.34,Active,2024-08-04
ACC000203,CUS000150,BR016,Savings,70317.19,Active,2022-01-12
ACC000204,CUS000151,BR018,Savings,85638.95,Active,2020-01-13
ACC000205,CUS000152,BR068,Savings,240323.63,Active,2023-02-10
ACC000206,CUS000152,BR006,Savings,33600.93,Active,2023-11-08
ACC000207,CUS000153,BR046,Salary,426100.76,Active,2023-10-04
ACC000208,CUS000154,BR086,Savings,10977.21,Active,2020-02-06
ACC000209,CUS000155,BR040,Savings,228103.64,Active,2020-02-25
ACC000210,CUS000156,BR032,Savings,292381.27,Active,2023-08-10
ACC000211,CUS000157,BR094,Salary,240033.53,Active,2023-02-12
ACC000212,CUS000158,BR019,Savings,202003.5,Active,2024-01-07
ACC000213,CUS000159,BR024,Savings,52245.0,Active,2018-09-06
ACC000214,CUS000160,BR047,Savings,109489.81,Active,2022-07-24
ACC000215,CUS000161,BR078,Savings,63185.52,Active,2025-12-19
ACC000216,CUS000161,BR060,Savings,287930.49,Active,2025-02-21
ACC000217,CUS000161,BR041,Current,1057496.7,Active,2023-09-28
ACC000218,CUS000162,BR097,Savings,123015.03,Active,2022-12-03
ACC000219,CUS000163,BR070,Current,964017.99,Active,2026-03-01
ACC000220,CUS000164,BR077,Salary,273811.66,Active,2023-08-02
ACC000221,CUS000165,BR032,Savings,214933.44,Active,2025-05-03
ACC000222,CUS000166,BR070,Savings,199080.66,Active,2021-02-04
ACC000223,CUS000166,BR046,Salary,8489.96,Active,2020-07-17
ACC000224,CUS000167,BR034,Savings,156547.17,Active,2021-07-26
ACC000225,CUS000168,BR061,Savings,242094.88,Active,2020-07-05
ACC000226,CUS000169,BR006,Savings,61421.99,Active,2020-12-18
ACC000227,CUS000170,BR056,Savings,179641.31,Closed,2020-10-13
ACC000228,CUS000170,BR016,Current,647901.54,Active,2020-08-18
ACC000229,CUS000170,BR015,Current,45727.71,Active,2022-06-05
ACC000230,CUS000171,BR094,Salary,439900.31,Active,2021-05-17
ACC000231,CUS000172,BR100,Current,908718.2,Active,2021-03-31
ACC000232,CUS000172,BR004,Savings,160058.99,Active,2021-01-26
ACC000233,CUS000173,BR044,Salary,133081.49,Active,2023-03-24
ACC000234,CUS000174,BR053,Salary,151292.91,Active,2025-05-11
ACC000235,CUS000175,BR072,Salary,305447.44,Active,2025-09-23
ACC000236,CUS000175,BR077,Savings,22514.31,Active,2025-11-11
ACC000237,CUS000176,BR015,Savings,98063.27,Active,2020-05-30
ACC000238,CUS000176,BR008,Savings,93525.05,Active,2018-11-16
ACC000239,CUS000177,BR038,Savings,267664.86,Active,2019-04-02
ACC000240,CUS000178,BR002,Savings,254307.03,Active,2022-05-30
ACC000241,CUS000179,BR098,Savings,110174.33,Active,2024-01-28
ACC000242,CUS000180,BR009,Salary,377850.18,Active,2022-06-24
ACC000243,CUS000181,BR087,Savings,226100.46,Active,2019-08-29
ACC000244,CUS000182,BR041,Savings,171742.91,Active,2020-03-27
ACC000245,CUS000183,BR036,Savings,60102.86,Active,2025-09-25
ACC000246,CUS000184,BR026,Savings,144180.22,Active,2024-08-05
ACC000247,CUS000185,BR061,Salary,446504.46,Active,2024-09-09
ACC000248,CUS000186,BR046,Savings,273704.3,Active,2022-07-29
ACC000249,CUS000187,BR066,Fixed Deposit,1907724.22,Active,2021-09-10
ACC000250,CUS000188,BR002,Savings,11703.86,Inactive,2026-01-22
ACC000251,CUS000189,BR002,Savings,115683.87,Active,2023-01-22
ACC000252,CUS000190,BR087,Salary,143407.5,Active,2022-05-04
ACC000253,CUS000191,BR064,Salary,58866.7,Active,2023-10-15
ACC000254,CUS000192,BR084,Savings,234667.13,Inactive,2020-09-14
ACC000255,CUS000193,BR026,Savings,262320.48,Active,2019-12-19
ACC000256,CUS000194,BR098,Savings,1111.7,Active,2025-02-23
ACC000257,CUS000195,BR028,Salary,13307.92,Active,2022-06-11
ACC000258,CUS000196,BR066,Current,425835.3,Active,2026-08-20
ACC000259,CUS000197,BR001,Savings,131851.22,Active,2022-10-16
ACC000260,CUS000198,BR023,Savings,17927.63,Active,2020-03-16
ACC000261,CUS000199,BR050,Savings,250971.48,Active,2022-07-18
ACC000262,CUS000199,BR059,Salary,358887.02,Active,2022-05-16
ACC000263,CUS000200,BR070,Savings,87978.55,Active,2023-02-11
ACC000264,CUS000201,BR081,Salary,177994.23,Active,2024-10-27
ACC000265,CUS000202,BR079,Savings,49945.58,Active,2024-06-24
ACC000266,CUS000203,BR041,Savings,88907.4,Active,2022-11-29
ACC000267,CUS000203,BR046,Savings,113119.53,Active,2024-03-29
ACC000268,CUS000204,BR083,Savings,216949.82,Closed,2020-10-25
ACC000269,CUS000205,BR091,Savings,26452.99,Active,2027-01-17
ACC000270,CUS000206,BR067,Salary,313450.3,Active,2026-03-04
ACC000271,CUS000207,BR043,Savings,87343.72,Active,2025-07-28
ACC000272,CUS000208,BR028,Savings,153299.29,Active,2021-04-26
ACC000273,CUS000208,BR053,Savings,130652.25,Active,2020-02-02
ACC000274,CUS000209,BR089,Salary,31399.23,Active,2021-06-03
ACC000275,CUS000210,BR084,Salary,38913.25,Closed,2022-09-04
ACC000276,CUS000211,BR091,Savings,282143.03,Active,2025-08-19
ACC000277,CUS000212,BR084,Savings,200849.13,Active,2023-02-18
ACC000278,CUS000213,BR094,Savings,206477.18,Active,2020-11-10
ACC000279,CUS000214,BR049,Savings,93699.25,Active,2020-06-29
ACC000280,CUS000215,BR039,Salary,291793.03,Active,2022-09-21
ACC000281,CUS000216,BR053,Savings,51510.57,Active,2019-09-03
ACC000282,CUS000217,BR026,Current,333322.97,Active,2025-01-28
ACC000283,CUS000217,BR008,Savings,157832.18,Active,2027-01-12
ACC000284,CUS000218,BR082,Savings,2694.88,Active,2023-06-18
ACC000285,CUS000218,BR081,Savings,145730.08,Active,2024-02-26
ACC000286,CUS000219,BR037,Salary,25913.97,Active,2025-03-02
ACC000287,CUS000220,BR061,Current,205569.4,Active,2025-02-24
ACC000288,CUS000221,BR069,Savings,139860.99,Active,2022-11-01
ACC000289,CUS000222,BR024,Savings,103333.86,Active,2023-11-21
ACC000290,CUS000222,BR056,Savings,79469.14,Active,2024-04-25
ACC000291,CUS000223,BR003,Savings,74019.34,Inactive,2023-04-23
ACC000292,CUS000224,BR028,Savings,157572.99,Active,2021-03-31
ACC000293,CUS000224,BR015,Salary,265175.63,Active,2020-04-07
ACC000294,CUS000225,BR023,Current,998968.19,Active,2024-06-04
ACC000295,CUS000225,BR007,Current,296402.7,Active,2024-10-28
ACC000296,CUS000226,BR043,Savings,110359.48,Inactive,2025-03-09
ACC000297,CUS000227,BR005,Current,161342.11,Inactive,2025-03-23
ACC000298,CUS000228,BR050,Savings,35078.72,Active,2021-12-14
ACC000299,CUS000229,BR029,Salary,268123.36,Active,2021-01-22
ACC000300,CUS000229,BR086,Salary,210623.86,Active,2021-12-01
ACC000301,CUS000229,BR001,Savings,157812.48,Active,2021-09-14
ACC000302,CUS000230,BR011,Savings,126704.11,Active,2023-01-09
ACC000303,CUS000231,BR078,Savings,258517.89,Active,2023-09-25
ACC000304,CUS000232,BR100,Savings,143132.24,Active,2020-07-04
ACC000305,CUS000233,BR086,Savings,35653.24,Active,2021-04-15
ACC000306,CUS000234,BR011,Salary,266614.08,Active,2024-09-17
ACC000307,CUS000235,BR093,Savings,170384.19,Active,2023-05-31
ACC000308,CUS000236,BR039,Savings,86625.47,Active,2025-03-05
ACC000309,CUS000237,BR099,Savings,37909.47,Active,2025-06-15
ACC000310,CUS000238,BR033,Salary,191616.29,Active,2024-02-08
ACC000311,CUS000239,BR047,Savings,295168.21,Active,2023-07-17
ACC000312,CUS000239,BR087,Savings,279477.54,Active,2021-08-30
ACC000313,CUS000240,BR043,Savings,216171.32,Active,2022-11-22
ACC000314,CUS000241,BR095,Current,1368780.54,Active,2020-12-06
ACC000315,CUS000242,BR088,Current,1196555.38,Active,2026-05-30
ACC000316,CUS000243,BR074,Savings,163081.46,Active,2020-08-04
ACC000317,CUS000244,BR024,Salary,394914.28,Active,2025-09-05
ACC000318,CUS000245,BR057,Savings,219523.59,Active,2023-03-09
ACC000319,CUS000246,BR044,Salary,257420.26,Closed,2021-08-04
ACC000320,CUS000247,BR004,Salary,207983.53,Active,2023-10-24
ACC000321,CUS000248,BR007,Savings,158619.45,Active,2026-01-23
ACC000322,CUS000249,BR064,Savings,55417.17,Active,2024-03-30
ACC000323,CUS000249,BR053,Savings,24102.08,Active,2024-09-19
ACC000324,CUS000250,BR001,Savings,202936.69,Active,2023-01-10
ACC000325,CUS000251,BR036,Savings,24689.85,Active,2024-02-07
ACC000326,CUS000252,BR088,Savings,224897.35,Active,2024-09-12
ACC000327,CUS000252,BR033,Salary,455925.99,Closed,2026-06-10
ACC000328,CUS000253,BR082,Salary,340867.0,Active,2023-04-05
ACC000329,CUS000253,BR025,Current,379845.95,Active,2022-01-17
ACC000330,CUS000254,BR049,Savings,261755.63,Active,2021-07-23
ACC000331,CUS000255,BR067,Savings,249998.41,Active,2024-01-20
ACC000332,CUS000256,BR054,Salary,161262.12,Active,2019-06-02
ACC000333,CUS000257,BR050,Savings,133985.46,Active,2021-03-23
ACC000334,CUS000258,BR023,Savings,123267.7,Active,2019-05-02
ACC000335,CUS000258,BR084,Savings,21468.43,Active,2020-03-12
ACC000336,CUS000259,BR026,Savings,88988.5,Active,2022-08-06
ACC000337,CUS000260,BR048,Savings,139525.58,Active,2021-08-13
ACC000338,CUS000261,BR027,Current,197073.17,Active,2024-05-02
ACC000339,CUS000261,BR028,Fixed Deposit,1055078.12,Active,2023-03-08
ACC000340,CUS000261,BR027,Salary,114356.88,Active,2022-12-05
ACC000341,CUS000262,BR080,Current,153371.96,Closed,2024-06-15
ACC000342,CUS000263,BR013,Current,187807.84,Active,2024-01-13
ACC000343,CUS000263,BR023,Savings,194714.12,Active,2025-03-22
ACC000344,CUS000263,BR054,Savings,47013.84,Active,2023-05-01
ACC000345,CUS000264,BR083,Salary,408548.55,Active,2022-12-29
ACC000346,CUS000264,BR069,Fixed Deposit,1952801.5,Active,2021-06-10
ACC000347,CUS000265,BR052,Salary,211191.01,Active,2019-06-26
ACC000348,CUS000266,BR063,Salary,63233.8,Active,2025-01-24
ACC000349,CUS000266,BR081,Current,347841.13,Active,2025-12-15
ACC000350,CUS000267,BR082,Savings,249297.15,Active,2026-04-17
ACC000351,CUS000268,BR055,Savings,139415.67,Active,2023-02-22
ACC000352,CUS000269,BR008,Savings,266503.15,Active,2026-04-08
ACC000353,CUS000270,BR082,Savings,269993.75,Active,2023-08-15
ACC000354,CUS000271,BR055,Salary,15223.06,Active,2022-05-18
ACC000355,CUS000271,BR089,Savings,217063.21,Active,2020-04-29
ACC000356,CUS000272,BR071,Savings,15656.08,Active,2021-10-10
ACC000357,CUS000273,BR015,Savings,146945.99,Active,2023-04-02
ACC000358,CUS000274,BR038,Savings,24236.44,Active,2020-11-24
ACC000359,CUS000275,BR045,Fixed Deposit,870931.46,Active,2020-12-02
ACC000360,CUS000276,BR100,Salary,268837.87,Active,2020-10-13
ACC000361,CUS000277,BR021,Savings,13767.64,Active,2022-10-22
ACC000362,CUS000278,BR002,Fixed Deposit,219067.81,Active,2022-09-10
ACC000363,CUS000279,BR081,Savings,162861.87,Active,2021-10-10
ACC000364,CUS000280,BR011,Savings,93795.45,Active,2020-04-26
ACC000365,CUS000281,BR096,Savings,218117.54,Active,2019-11-21
ACC000366,CUS000282,BR035,Salary,87335.21,Active,2024-02-07
ACC000367,CUS000283,BR080,Savings,210592.61,Active,2022-08-30
ACC000368,CUS000283,BR093,Savings,210253.69,Active,2022-08-05
ACC000369,CUS000284,BR028,Salary,165337.94,Active,2021-08-17
ACC000370,CUS000285,BR040,Current,574305.61,Active,2022-08-09
ACC000371,CUS000286,BR098,Savings,265866.1,Active,2019-03-03
ACC000372,CUS000287,BR079,Savings,176684.44,Inactive,2024-03-01
ACC000373,CUS000288,BR015,Savings,148372.35,Active,2020-01-24
ACC000374,CUS000288,BR034,Savings,70534.35,Active,2019-07-16
ACC000375,CUS000289,BR093,Savings,133995.93,Active,2024-06-02
ACC000376,CUS000290,BR030,Savings,128211.4,Active,2022-08-18
ACC000377,CUS000291,BR004,Savings,182898.98,Active,2020-05-16
ACC000378,CUS000292,BR071,Salary,411819.48,Active,2025-10-25
ACC000379,CUS000293,BR043,Fixed Deposit,427754.5,Active,2018-03-16
ACC000380,CUS000294,BR010,Savings,5755.9,Active,2020-09-08
ACC000381,CUS000295,BR077,Savings,144231.61,Active,2023-09-06
ACC000382,CUS000296,BR002,Savings,264305.67,Active,2025-12-21
ACC000383,CUS000297,BR034,Salary,493451.35,Inactive,2025-10-16
ACC000384,CUS000298,BR013,Savings,14264.2,Active,2019-07-12
ACC000385,CUS000299,BR005,Salary,458963.22,Active,2022-10-02
ACC000386,CUS000299,BR059,Current,414705.66,Active,2024-06-22
ACC000387,CUS000300,BR002,Savings,298260.18,Active,2026-12-08
ACC000388,CUS000301,BR041,Savings,35799.0,Active,2023-07-24
ACC000389,CUS000302,BR035,Savings,90698.97,Active,2022-12-13
ACC000390,CUS000303,BR078,Savings,251555.64,Active,2022-12-26
ACC000391,CUS000303,BR096,Savings,134853.76,Active,2021-10-13
ACC000392,CUS000303,BR016,Salary,143063.17,Active,2023-06-22
ACC000393,CUS000304,BR034,Savings,180129.01,Active,2025-03-15
ACC000394,CUS000305,BR001,Savings,39310.4,Active,2024-04-27
ACC000395,CUS000305,BR058,Current,1365664.12,Active,2024-11-04
