merchant_id,merchant_name,category,city,state
MER00034,MedPlus 34,Healthcare,Ludhiana,Punjab
MER00035,Pantaloons 35,Fashion,Bhubaneswar,Odisha
MER00036,Domino's 36,Restaurant,Raipur,Chhattisgarh
MER00037,Big Bazaar 37,Supermarket,Nizamabad,Telangana
MER00038,Reliance Trends 38,Fashion,Salem,Tamil Nadu
MER00039,Apollo Pharmacy 39,Healthcare,Faridabad,Haryana
MER00040,Reliance Fresh 40,Supermarket,Kolhapur,Maharashtra
MER00041,Pantaloons 41,Fashion,Udaipur,Rajasthan
MER00042,Reliance Digital 42,Electronics,Jamshedpur,Jharkhand
MER00043,KFC 43,Restaurant,Gaya,Bihar
MER00044,Decathlon 44,Sports,Hubli,Karnataka
MER00045,Apollo Pharmacy 45,Healthcare,Kochi,Kerala
MER00046,DMart 46,Supermarket,Guwahati,Assam
MER00047,Croma 47,Electronics,Ranchi,Jharkhand
MER00048,Vijay Sales 48,Electronics,Rajkot,Gujarat
MER00049,Zudio 49,Fashion,Bhopal,Madhya Pradesh
MER00050,Apollo Pharmacy 50,Healthcare,Howrah,West Bengal
MER00051,McDonald's 51,Restaurant,Kolkata,West Bengal
MER00052,Decathlon 52,Sports,Rajkot,Gujarat
MER00053,More Supermarket 53,Supermarket,Pune,Maharashtra
MER00054,Starbucks 54,Cafe,Hubli,Karnataka
MER00055,Starbucks 55,Cafe,Faridabad,Haryana
MER00056,Reliance Trends 56,Fashion,Bhubaneswar,Odisha
MER00057,Zudio 57,Fashion,Patna,Bihar
MER00058,Big Bazaar 58,Supermarket,Salem,Tamil Nadu
MER00059,More Supermarket 59,Supermarket,Bilaspur,Chhattisgarh
MER00060,Lifestyle 60,Fashion,Bhubaneswar,Odisha
MER00061,Reliance Fresh 61,Supermarket,Raipur,Chhattisgarh
MER00062,Reliance Fresh 62,Supermarket,Dehradun,Uttarakhand
MER00063,Reliance Digital 63,Electronics,Guwahati,Assam
MER00064,MedPlus 64,Healthcare,Dehradun,Uttarakhand
MER00065,MedPlus 65,Healthcare,Rajkot,Gujarat
MER00066,Pantaloons 66,Fashion,Faridabad,Haryana
MER00067,KFC 67,Restaurant,Delhi,Delhi
MER00068,KFC 68,Restaurant,Ghaziabad,Uttar Pradesh
MER00069,MedPlus 69,Healthcare,Howrah,West Bengal
MER00070,Croma 70,Electronics,Guwahati,Assam
MER00071,Decathlon 71,Sports,Gaya,Bihar
MER00072,Domino's 72,Restaurant,New Delhi,Delhi
MER00073,Pantaloons 73,Fashion,Bhopal,Madhya Pradesh
MER00074,Zudio 74,Fashion,Trivandrum,Kerala
MER00075,DMart 75,Supermarket,Gaya,Bihar
MER00076,KFC 76,Restaurant,Bhopal,Madhya Pradesh
MER00077,Domino's 77,Restaurant,Guwahati,Assam
MER00078,DMart 78,Supermarket,Trivandrum,Kerala
MER00079,Domino's 79,Restaurant,Gurugram,Haryana
MER00080,Domino's 80,Restaurant,Indore,Madhya Pradesh
MER00081,Pantaloons 81,Fashion,Indore,Madhya Pradesh
MER00082,Starbucks 82,Cafe,Guwahati,Assam
MER00083,Reliance Trends 83,Fashion,Raipur,Chhattisgarh
MER00084,Zudio 84,Fashion,Kochi,Kerala
MER00085,DMart 85,Supermarket,Margao,Goa
MER00086,Domino's 86,Restaurant,Gwalior,Madhya Pradesh
MER00087,Decathlon 87,Sports,Faridabad,Haryana
MER00088,Reliance Fresh 88,Supermarket,Cuttack,Odisha
MER00089,KFC 89,Restaurant,Mangalore,Karnataka
MER00090,Spencer's 90,Supermarket,New Delhi,Delhi
MER00091,McDonald's 91,Restaurant,Bhubaneswar,Odisha
MER00092,Spencer's 92,Supermarket,Kochi,Kerala
MER00093,Starbucks 93,Cafe,Faridabad,Haryana
MER00094,DMart 94,Supermarket,Jamshedpur,Jharkhand
MER00095,Spencer's 95,Supermarket,Gaya,Bihar
MER00096,Pantaloons 96,Fashion,Durgapur,West Bengal
MER00097,Westside 97,Fashion,Ghaziabad,Uttar Pradesh
MER00098,Pantaloons 98,Fashion,Durgapur,West Bengal
MER00099,DMart 99,Supermarket,Ahmedabad,Gujarat
MER00100,Pantaloons 100,Fashion,Kozhikode,Kerala
MER00101,Starbucks 101,Cafe,Ranchi,Jharkhand
MER00102,Starbucks 102,Cafe,Dehradun,Uttarakhand
MER00103,Starbucks 103,Cafe,Noida,Uttar Pradesh
MER00104,Domino's 104,Restaurant,Agra,Uttar Pradesh
MER00105,Croma 105,Electronics,Jamshedpur,Jharkhand
MER00106,Vijay Sales 106,Electronics,Raipur,Chhattisgarh
MER00107,Decathlon 107,Sports,Ranchi,Jharkhand
MER00108,Reliance Trends 108,Fashion,Udaipur,Rajasthan
MER00109,Spencer's 109,Supermarket,Salem,Tamil Nadu
MER00110,Big Bazaar 110,Supermarket,Margao,Goa
MER00111,Reliance Trends 111,Fashion,Chennai,Tamil Nadu
MER00112,Reliance Fresh 112,Supermarket,Panaji,Goa
MER00113,Westside 113,Fashion,Chennai,Tamil Nadu
MER00114,Domino's 114,Restaurant,Margao,Goa
MER00115,Decathlon 115,Sports,Gaya,Bihar
MER00116,Reliance Digital 116,Electronics,Jaipur,Rajasthan
MER00117,DMart 117,Supermarket,Ghaziabad,Uttar Pradesh
MER00118,Lifestyle 118,Fashion,Jamshedpur,Jharkhand
MER00119,More Supermarket 119,Supermarket,Mumbai,Maharashtra
MER00120,KFC 120,Restaurant,Faridabad,Haryana
MER00121,Big Bazaar 121,Supermarket,Dehradun,Uttarakhand
MER00122,Domino's 122,Restaurant,Udaipur,Rajasthan
MER00123,Westside 123,Fashion,Guwahati,Assam
MER00124,McDonald's 124,Restaurant,Udaipur,Rajasthan
MER00125,Big Bazaar 125,Supermarket,Jalandhar,Punjab
MER00126,Starbucks 126,Cafe,Panaji,Goa
MER00127,Reliance Trends 127,Fashion,Patna,Bihar
MER00128,Decathlon 128,Sports,Howrah,West Bengal
MER00129,KFC 129,Restaurant,Haridwar,Uttarakhand
MER00130,Croma 130,Electronics,Kozhikode,Kerala
MER00131,Big Bazaar 131,Supermarket,Panaji,Goa
MER00132,Reliance Trends 132,Fashion,Kolkata,West Bengal
MER00133,McDonald's 133,Restaurant,Mumbai,Maharashtra
MER00134,Spencer's 134,Supermarket,Dehradun,Uttarakhand
MER00135,Croma 135,Electronics,Pune,Maharashtra
MER00136,Lifestyle 136,Fashion,Jaipur,Rajasthan
MER00137,KFC 137,Restaurant,New Delhi,Delhi
MER00138,Spencer's 138,Supermarket,Panaji,Goa
MER00139,Zudio 139,Fashion,Jalandhar,Punjab
MER00140,Apollo Pharmacy 140,Healthcare,Bilaspur,Chhattisgarh
MER00141,Lifestyle 141,Fashion,Kolhapur,Maharashtra
MER00142,KFC 142,Restaurant,Gurugram,Haryana
MER00143,Decathlon 143,Sports,Nagpur,Maharashtra
MER00144,KFC 144,Restaurant,Patna,Bihar
MER00145,Croma 145,Electronics,Hyderabad,Telangana
MER00146,More Supermarket 146,Supermarket,Kolkata,West Bengal
MER00147,Vijay Sales 147,Electronics,Gaya,Bihar
MER00148,Decathlon 148,Sports,New Delhi,Delhi
MER00149,KFC 149,Restaurant,Udaipur,Rajasthan
MER00150,Decathlon 150,Sports,Amritsar,Punjab
MER00151,Reliance Fresh 151,Supermarket,Udaipur,Rajasthan
MER00152,Lifestyle 152,Fashion,Chennai,Tamil Nadu
MER00153,Croma 153,Electronics,Vadodara,Gujarat
MER00154,DMart 154,Supermarket,Guwahati,Assam
MER00155,Reliance Digital 155,Electronics,Patna,Bihar
MER00156,Croma 156,Electronics,Ghaziabad,Uttar Pradesh
MER00157,Reliance Fresh 157,Supermarket,Bengaluru,Karnataka
MER00158,Croma 158,Electronics,Bilaspur,Chhattisgarh
MER00159,Lifestyle 159,Fashion,Warangal,Telangana
MER00160,Apollo Pharmacy 160,Healthcare,Ahmedabad,Gujarat
MER00161,Lifestyle 161,Fashion,Chennai,Tamil Nadu
MER00162,Westside 162,Fashion,Hyderabad,Telangana
MER00163,Apollo Pharmacy 163,Healthcare,Solapur,Maharashtra
MER00164,Apollo Pharmacy 164,Healthcare,Rajkot,Gujarat
MER00165,Big Bazaar 165,Supermarket,Bilaspur,Chhattisgarh
MER00166,MedPlus 166,Healthcare,Dehradun,Uttarakhand
MER00167,More Supermarket 167,Supermarket,Chennai,Tamil Nadu
MER00168,Big Bazaar 168,Supermarket,Guwahati,Assam
MER00169,McDonald's 169,Restaurant,Raipur,Chhattisgarh
MER00170,More Supermarket 170,Supermarket,Guwahati,Assam
MER00171,DMart 171,Supermarket,Bilaspur,Chhattisgarh
MER00172,Reliance Fresh 172,Supermarket,Cuttack,Odisha
MER00173,Decathlon 173,Sports,Cuttack,Odisha
MER00174,Apollo Pharmacy 174,Healthcare,Madurai,Tamil Nadu
MER00175,MedPlus 175,Healthcare,Howrah,West Bengal
MER00176,Lifestyle 176,Fashion,Surat,Gujarat
MER00177,Zudio 177,Fashion,Mysuru,Karnataka
MER00178,Apollo Pharmacy 178,Healthcare,Haridwar,Uttarakhand
MER00179,McDonald's 179,Restaurant,Madurai,Tamil Nadu
MER00180,Pantaloons 180,Fashion,Hyderabad,Telangana
MER00181,McDonald's 181,Restaurant,Cuttack,Odisha
MER00182,Starbucks 182,Cafe,Bhopal,Madhya Pradesh
MER00183,Apollo Pharmacy 183,Healthcare,Chennai,Tamil Nadu
MER00184,McDonald's 184,Restaurant,Jodhpur,Rajasthan
MER00185,Starbucks 185,Cafe,Margao,Goa
MER00186,Starbucks 186,Cafe,Howrah,West Bengal
MER00187,More Supermarket 187,Supermarket,Raipur,Chhattisgarh
MER00188,Spencer's 188,Supermarket,Haridwar,Uttarakhand
MER00189,Big Bazaar 189,Supermarket,Margao,Goa
MER00190,More Supermarket 190,Supermarket,Jamshedpur,Jharkhand
MER00191,KFC 191,Restaurant,Jalandhar,Punjab
MER00192,More Supermarket 192,Supermarket,Jamshedpur,Jharkhand
MER00193,KFC 193,Restaurant,Bhubaneswar,Odisha
MER00194,KFC 194,Restaurant,Guwahati,Assam
MER00195,McDonald's 195,Restaurant,Noida,Uttar Pradesh
MER00196,Lifestyle 196,Fashion,Ranchi,Jharkhand
MER00197,McDonald's 197,Restaurant,Cuttack,Odisha
MER00198,Pantaloons 198,Fashion,Delhi,Delhi
MER00199,Vijay Sales 199,Electronics,New Delhi,Delhi
MER00200,MedPlus 200,Healthcare,Kozhikode,Kerala
MER00201,Reliance Fresh 201,Supermarket,Kolkata,West Bengal
MER00202,Reliance Trends 202,Fashion,Noida,Uttar Pradesh
MER00203,Zudio 203,Fashion,Agra,Uttar Pradesh
MER00204,Pantaloons 204,Fashion,Salem,Tamil Nadu
MER00205,Croma 205,Electronics,Nagpur,Maharashtra
MER00206,More Supermarket 206,Supermarket,Bhopal,Madhya Pradesh
MER00207,Zudio 207,Fashion,Jodhpur,Rajasthan
MER00208,Big Bazaar 208,Supermarket,Gurugram,Haryana
MER00209,Lifestyle 209,Fashion,Raipur,Chhattisgarh
MER00210,Lifestyle 210,Fashion,Lucknow,Uttar Pradesh
MER00211,DMart 211,Supermarket,Nizamabad,Telangana
MER00212,Croma 212,Electronics,Guwahati,Assam
MER00213,Lifestyle 213,Fashion,Coimbatore,Tamil Nadu
MER00214,Domino's 214,Restaurant,Noida,Uttar Pradesh
MER00215,DMart 215,Supermarket,Ranchi,Jharkhand
MER00216,Westside 216,Fashion,Bilaspur,Chhattisgarh
MER00217,Vijay Sales 217,Electronics,Jaipur,Rajasthan
MER00218,Croma 218,Electronics,Bhubaneswar,Odisha
MER00219,Lifestyle 219,Fashion,Dehradun,Uttarakhand
MER00220,Vijay Sales 220,Electronics,Bhubaneswar,Odisha
MER00221,MedPlus 221,Healthcare,Udaipur,Rajasthan
MER00222,More Supermarket 222,Supermarket,Bilaspur,Chhattisgarh
MER00223,KFC 223,Restaurant,Kozhikode,Kerala
MER00224,Zudio 224,Fashion,Kolhapur,Maharashtra
MER00225,Reliance Fresh 225,Supermarket,Raipur,Chhattisgarh
MER00226,Lifestyle 226,Fashion,Ahmedabad,Gujarat
MER00227,Reliance Fresh 227,Supermarket,Kolkata,West Bengal
MER00228,Domino's 228,Restaurant,Guwahati,Assam
MER00229,Spencer's 229,Supermarket,Ranchi,Jharkhand
MER00230,Starbucks 230,Cafe,Bhubaneswar,Odisha
MER00231,Domino's 231,Restaurant,Cuttack,Odisha
MER00232,Domino's 232,Restaurant,Warangal,Telangana
MER00233,Lifestyle 233,Fashion,Jalandhar,Punjab
MER00234,Zudio 234,Fashion,Ghaziabad,Uttar Pradesh
MER00235,KFC 235,Restaurant,Bhubaneswar,Odisha
MER00236,Spencer's 236,Supermarket,Madurai,Tamil Nadu
MER00237,Reliance Trends 237,Fashion,Delhi,Delhi
MER00238,Vijay Sales 238,Electronics,Amritsar,Punjab
MER00239,More Supermarket 239,Supermarket,Ludhiana,Punjab
MER00240,KFC 240,Restaurant,Rajkot,Gujarat
MER00241,KFC 241,Restaurant,Warangal,Telangana
MER00242,KFC 242,Restaurant,Guwahati,Assam
MER00243,DMart 243,Supermarket,Margao,Goa
MER00244,McDonald's 244,Restaurant,Haridwar,Uttarakhand
MER00245,Zudio 245,Fashion,Trivandrum,Kerala
MER00246,DMart 246,Supermarket,Jodhpur,Rajasthan
MER00247,More Supermarket 247,Supermarket,Bhubaneswar,Odisha
MER00248,Domino's 248,Restaurant,Dehradun,Uttarakhand
MER00249,Domino's 249,Restaurant,Jodhpur,Rajasthan
MER00250,Reliance Trends 250,Fashion,Cuttack,Odisha
MER00251,Croma 251,Electronics,Faridabad,Haryana
MER00252,Reliance Trends 252,Fashion,Guwahati,Assam
MER00253,Vijay Sales 253,Electronics,Kozhikode,Kerala
MER00254,More Supermarket 254,Supermarket,Panaji,Goa
MER00255,Apollo Pharmacy 255,Healthcare,Coimbatore,Tamil Nadu
MER00256,Lifestyle 256,Fashion,Vadodara,Gujarat
MER00257,Domino's 257,Restaurant,Kolhapur,Maharashtra
MER00258,Pantaloons 258,Fashion,Indore,Madhya Pradesh
MER00259,Croma 259,Electronics,Madurai,Tamil Nadu
MER00260,Zudio 260,Fashion,Gaya,Bihar
MER00261,Decathlon 261,Sports,Gaya,Bihar
MER00262,Pantaloons 262,Fashion,Jalandhar,Punjab
MER00263,Spencer's 263,Supermarket,Amritsar,Punjab
MER00264,Big Bazaar 264,Supermarket,Mumbai,Maharashtra
MER00265,Zudio 265,Fashion,Gurugram,Haryana
MER00266,Reliance Fresh 266,Supermarket,Haridwar,Uttarakhand
MER00267,More Supermarket 267,Supermarket,Jalandhar,Punjab
MER00268,Reliance Trends 268,Fashion,Indore,Madhya Pradesh
MER00269,Apollo Pharmacy 269,Healthcare,Madurai,Tamil Nadu
MER00270,MedPlus 270,Healthcare,Margao,Goa
MER00271,Zudio 271,Fashion,Coimbatore,Tamil Nadu
MER00272,Pantaloons 272,Fashion,Haridwar,Uttarakhand
MER00273,Vijay Sales 273,Electronics,Gaya,Bihar
MER00274,KFC 274,Restaurant,Kolkata,West Bengal
MER00275,Apollo Pharmacy 275,Healthcare,Bengaluru,Karnataka
MER00276,Reliance Fresh 276,Supermarket,Guwahati,Assam
MER00277,Zudio 277,Fashion,Hyderabad,Telangana
MER00278,Domino's 278,Restaurant,Vadodara,Gujarat
MER00279,Croma 279,Electronics,Bhubaneswar,Odisha
MER00280,More Supermarket 280,Supermarket,Ahmedabad,Gujarat
MER00281,McDonald's 281,Restaurant,Vadodara,Gujarat
MER00282,Zudio 282,Fashion,Mysuru,Karnataka
MER00283,Croma 283,Electronics,Hubli,Karnataka
MER00284,Reliance Trends 284,Fashion,Mangalore,Karnataka
MER00285,Vijay Sales 285,Electronics,Cuttack,Odisha
MER00286,Reliance Trends 286,Fashion,Jalandhar,Punjab
MER00287,Lifestyle 287,Fashion,Pune,Maharashtra
MER00288,McDonald's 288,Restaurant,Kochi,Kerala
MER00289,Reliance Trends 289,Fashion,Indore,Madhya Pradesh
MER00290,McDonald's 290,Restaurant,Dehradun,Uttarakhand
MER00291,Starbucks 291,Cafe,Margao,Goa
MER00292,DMart 292,Supermarket,Mysuru,Karnataka
MER00293,Big Bazaar 293,Supermarket,Kozhikode,Kerala
MER00294,Decathlon 294,Sports,Margao,Goa
MER00295,DMart 295,Supermarket,Noida,Uttar Pradesh
MER00296,Pantaloons 296,Fashion,Bhopal,Madhya Pradesh
MER00297,Apollo Pharmacy 297,Healthcare,Nashik,Maharashtra
MER00298,Pantaloons 298,Fashion,Haridwar,Uttarakhand
MER00299,Spencer's 299,Supermarket,Trivandrum,Kerala
MER00300,Starbucks 300,Cafe,Cuttack,Odisha
MER00301,Croma 301,Electronics,Dehradun,Uttarakhand
MER00302,Reliance Digital 302,Electronics,Gaya,Bihar
MER00303,More Supermarket 303,Supermarket,Raipur,Chhattisgarh
MER00304,Reliance Fresh 304,Supermarket,Madurai,Tamil Nadu
MER00305,Reliance Fresh 305,Supermarket,Hyderabad,Telangana
MER00306,Lifestyle 306,Fashion,Margao,Goa
MER00307,Westside 307,Fashion,Faridabad,Haryana
MER00308,Reliance Fresh 308,Supermarket,Udaipur,Rajasthan
MER00309,More Supermarket 309,Supermarket,Jalandhar,Punjab
MER00310,McDonald's 310,Restaurant,Warangal,Telangana
MER00311,Lifestyle 311,Fashion,Trivandrum,Kerala
MER00312,Spencer's 312,Supermarket,Vadodara,Gujarat
MER00313,Big Bazaar 313,Supermarket,Mumbai,Maharashtra
MER00314,Starbucks 314,Cafe,Ahmedabad,Gujarat
MER00315,Apollo Pharmacy 315,Healthcare,Guwahati,Assam
MER00316,Apollo Pharmacy 316,Healthcare,Bhopal,Madhya Pradesh
MER00317,Westside 317,Fashion,Panaji,Goa
MER00318,Reliance Digital 318,Electronics,Jamshedpur,Jharkhand
MER00319,Spencer's 319,Supermarket,Raipur,Chhattisgarh
MER00320,Reliance Fresh 320,Supermarket,Guwahati,Assam
MER00321,Big Bazaar 321,Supermarket,Coimbatore,Tamil Nadu
MER00322,More Supermarket 322,Supermarket,Jamshedpur,Jharkhand
MER00323,Croma 323,Electronics,Jamshedpur,Jharkhand
MER00324,Big Bazaar 324,Supermarket,Amritsar,Punjab
MER00325,Domino's 325,Restaurant,Ranchi,Jharkhand
MER00326,More Supermarket 326,Supermarket,Guwahati,Assam
MER00327,Apollo Pharmacy 327,Healthcare,Guwahati,Assam
MER00328,Starbucks 328,Cafe,Kolkata,West Bengal
MER00329,Domino's 329,Restaurant,Jamshedpur,Jharkhand
MER00330,Big Bazaar 330,Supermarket,Guwahati,Assam
MER00331,MedPlus 331,Healthcare,Trivandrum,Kerala
MER00332,Big Bazaar 332,Supermarket,Nagpur,Maharashtra
MER00333,Pantaloons 333,Fashion,Udaipur,Rajasthan
MER00334,DMart 334,Supermarket,Ghaziabad,Uttar Pradesh
MER00335,Reliance Fresh 335,Supermarket,Amritsar,Punjab
MER00336,Pantaloons 336,Fashion,Warangal,Telangana
MER00337,DMart 337,Supermarket,Amritsar,Punjab
MER00338,Big Bazaar 338,Supermarket,Amritsar,Punjab
MER00339,Vijay Sales 339,Electronics,Jodhpur,Rajasthan
MER00340,Reliance Fresh 340,Supermarket,Salem,Tamil Nadu
MER00341,Zudio 341,Fashion,Kolkata,West Bengal
MER00342,Westside 342,Fashion,Udaipur,Rajasthan
MER00343,Apollo Pharmacy 343,Healthcare,Gaya,Bihar
MER00344,Pantaloons 344,Fashion,Ludhiana,Punjab
MER00345,Westside 345,Fashion,Jaipur,Rajasthan
MER00346,Zudio 346,Fashion,Ludhiana,Punjab
MER00347,Vijay Sales 347,Electronics,Dehradun,Uttarakhand
MER00348,McDonald's 348,Restaurant,Amritsar,Punjab
MER00349,Croma 349,Electronics,Ghaziabad,Uttar Pradesh
MER00350,Lifestyle 350,Fashion,Guwahati,Assam
MER00351,Croma 351,Electronics,Margao,Goa
MER00352,Croma 352,Electronics,Mangalore,Karnataka
MER00353,Spencer's 353,Supermarket,Bhopal,Madhya Pradesh
MER00354,Zudio 354,Fashion,Jodhpur,Rajasthan
MER00355,Zudio 355,Fashion,Margao,Goa
MER00356,Reliance Digital 356,Electronics,Vadodara,Gujarat
MER00357,Apollo Pharmacy 357,Healthcare,Coimbatore,Tamil Nadu
MER00358,Reliance Digital 358,Electronics,Nashik,Maharashtra
MER00359,Starbucks 359,Cafe,Guwahati,Assam
MER00360,Big Bazaar 360,Supermarket,Panaji,Goa
MER00361,Westside 361,Fashion,Jodhpur,Rajasthan
MER00362,Vijay Sales 362,Electronics,Ghaziabad,Uttar Pradesh
MER00363,Westside 363,Fashion,Kolkata,West Bengal
MER00364,Big Bazaar 364,Supermarket,Amritsar,Punjab
MER00365,KFC 365,Restaurant,Ranchi,Jharkhand
MER00366,Reliance Digital 366,Electronics,Noida,Uttar Pradesh
MER00367,McDonald's 367,Restaurant,Jaipur,Rajasthan
MER00368,Pantaloons 368,Fashion,Cuttack,Odisha
MER00369,Vijay Sales 369,Electronics,Kochi,Kerala
MER00370,Reliance Digital 370,Electronics,Jamshedpur,Jharkhand
MER00371,More Supermarket 371,Supermarket,Panaji,Goa
MER00372,Reliance Trends 372,Fashion,Patna,Bihar
MER00373,Reliance Trends 373,Fashion,Ludhiana,Punjab
MER00374,Reliance Digital 374,Electronics,Raipur,Chhattisgarh
MER00375,Zudio 375,Fashion,Haridwar,Uttarakhand
MER00376,Lifestyle 376,Fashion,Dehradun,Uttarakhand
MER00377,Lifestyle 377,Fashion,Raipur,Chhattisgarh
MER00378,Apollo Pharmacy 378,Healthcare,Dehradun,Uttarakhand
MER00379,Croma 379,Electronics,Margao,Goa
MER00380,Westside 380,Fashion,Madurai,Tamil Nadu
MER00381,DMart 381,Supermarket,Gaya,Bihar
MER00382,Vijay Sales 382,Electronics,Coimbatore,Tamil Nadu
MER00383,MedPlus 383,Healthcare,Bhopal,Madhya Pradesh
MER00384,Westside 384,Fashion,Guwahati,Assam
MER00385,MedPlus 385,Healthcare,Mysuru,Karnataka
MER00386,Lifestyle 386,Fashion,Patna,Bihar
MER00387,Vijay Sales 387,Electronics,Chennai,Tamil Nadu
MER00388,McDonald's 388,Restaurant,Bengaluru,Karnataka
MER00389,Apollo Pharmacy 389,Healthcare,Mysuru,Karnataka
MER00390,DMart 390,Supermarket,Gaya,Bihar
MER00391,Croma 391,Electronics,Kolhapur,Maharashtra
MER00392,MedPlus 392,Healthcare,Lucknow,Uttar Pradesh
MER00393,Reliance Digital 393,Electronics,Indore,Madhya Pradesh
MER00394,More Supermarket 394,Supermarket,Bilaspur,Chhattisgarh
MER00395,Reliance Trends 395,Fashion,Panaji,Goa
MER00396,Zudio 396,Fashion,Solapur,Maharashtra
MER00397,Apollo Pharmacy 397,Healthcare,Jaipur,Rajasthan
MER00398,Apollo Pharmacy 398,Healthcare,Mangalore,Karnataka
MER00399,Zudio 399,Fashion,Rajkot,Gujarat
MER00400,Reliance Fresh 400,Supermarket,Kozhikode,Kerala
MER00401,Spencer's 401,Supermarket,Gurugram,Haryana
MER00402,Apollo Pharmacy 402,Healthcare,Bhopal,Madhya Pradesh
MER00403,Westside 403,Fashion,Cuttack,Odisha
MER00404,Reliance Trends 404,Fashion,Jaipur,Rajasthan
MER00405,Lifestyle 405,Fashion,Hubli,Karnataka
MER00406,Domino's 406,Restaurant,Chennai,Tamil Nadu
MER00407,DMart 407,Supermarket,Bengaluru,Karnataka
MER00408,Reliance Fresh 408,Supermarket,Coimbatore,Tamil Nadu
MER00409,Big Bazaar 409,Supermarket,New Delhi,Delhi
MER00410,Westside 410,Fashion,Mangalore,Karnataka
MER00411,DMart 411,Supermarket,Kochi,Kerala
MER00412,Starbucks 412,Cafe,Patna,Bihar
MER00413,Big Bazaar 413,Supermarket,Gaya,Bihar
MER00414,Domino's 414,Restaurant,Udaipur,Rajasthan
MER00415,Lifestyle 415,Fashion,Panaji,Goa
MER00416,Zudio 416,Fashion,Warangal,Telangana
MER00417,McDonald's 417,Restaurant,Ludhiana,Punjab
MER00418,Reliance Digital 418,Electronics,Agra,Uttar Pradesh
MER00419,Domino's 419,Restaurant,Guwahati,Assam
MER00420,More Supermarket 420,Supermarket,Gaya,Bihar
MER00421,Apollo Pharmacy 421,Healthcare,Noida,Uttar Pradesh
MER00422,Westside 422,Fashion,Kolkata,West Bengal
MER00423,Reliance Fresh 423,Supermarket,Jalandhar,Punjab
MER00424,Decathlon 424,Sports,Warangal,Telangana
MER00425,More Supermarket 425,Supermarket,Mangalore,Karnataka
MER00426,DMart 426,Supermarket,Delhi,Delhi
MER00427,Vijay Sales 427,Electronics,Nashik,Maharashtra
MER00428,Spencer's 428,Supermarket,Margao,Goa
MER00429,Westside 429,Fashion,Gurugram,Haryana
MER00430,Westside 430,Fashion,Nashik,Maharashtra
MER00431,Reliance Trends 431,Fashion,Gwalior,Madhya Pradesh
MER00432,Zudio 432,Fashion,Indore,Madhya Pradesh
MER00433,Pantaloons 433,Fashion,Kolkata,West Bengal
MER00434,Decathlon 434,Sports,Delhi,Delhi
MER00435,Spencer's 435,Supermarket,Hubli,Karnataka
MER00436,Lifestyle 436,Fashion,Warangal,Telangana
MER00437,Pantaloons 437,Fashion,Patna,Bihar
MER00438,Apollo Pharmacy 438,Healthcare,Haridwar,Uttarakhand
MER00439,Westside 439,Fashion,Bilaspur,Chhattisgarh
MER00440,KFC 440,Restaurant,Guwahati,Assam
MER00441,DMart 441,Supermarket,Jamshedpur,Jharkhand
MER00442,Reliance Fresh 442,Supermarket,Jodhpur,Rajasthan
MER00443,Croma 443,Electronics,Ranchi,Jharkhand
MER00444,Croma 444,Electronics,Durgapur,West Bengal
MER00445,Reliance Digital 445,Electronics,Faridabad,Haryana
